iter	Passed	Remaining
0	0	890
1	1	839
2	3	1226
3	5	1312
4	6	1256
5	6	1156
6	7	1077
7	8	1106
8	10	1125
9	11	1102
10	11	1061
11	12	1026
12	13	990
13	13	963
14	14	955
15	15	942
16	16	929
17	16	914
18	17	898
19	17	881
20	18	866
21	19	852
22	19	842
23	20	835
24	22	859
25	22	852
26	25	915
27	27	939
28	27	935
29	28	926
30	29	931
31	30	927
32	31	921
33	32	913
34	32	904
35	33	898
36	34	894
37	34	886
38	35	877
39	36	869
40	36	862
41	37	856
42	38	852
43	39	847
44	39	845
45	40	843
46	41	837
47	41	830
48	42	824
49	43	818
50	43	812
51	44	807
52	44	803
53	45	803
54	46	803
55	47	801
56	48	797
57	48	792
58	49	787
59	49	783
60	50	779
61	51	775
62	52	779
63	53	783
64	54	784
65	55	788
66	56	785
67	57	781
68	57	780
69	58	783
70	59	780
71	60	776
72	60	774
73	61	770
74	62	765
75	62	762
76	63	757
77	63	753
78	64	753
79	65	753
80	66	752
81	67	755
82	68	752
83	68	751
84	69	750
85	70	753
86	71	752
87	72	748
88	72	744
89	73	741
90	73	738
91	74	735
92	75	732
93	75	729
94	76	727
95	77	729
96	78	726
97	78	720
98	79	719
99	79	718
100	80	717
101	81	716
102	83	727
103	84	729
104	85	728
105	86	725
106	86	723
107	87	720
108	87	718
109	88	716
110	89	717
111	90	715
112	90	713
113	91	710
114	92	708
115	92	705
116	93	707
117	95	715
118	96	715
119	97	713
120	98	712
121	98	711
122	99	710
123	100	708
124	100	705
125	101	703
126	102	701
127	102	698
128	103	698
129	104	697
130	104	695
131	105	695
132	106	692
133	106	690
134	109	699
135	110	704
136	111	704
137	112	703
138	123	764
139	123	761
140	124	758
141	125	755
142	125	753
143	126	750
144	126	748
145	127	747
146	128	745
147	129	743
148	129	739
149	130	737
150	130	735
151	131	733
152	132	731
153	132	729
154	133	727
155	134	725
156	134	722
157	135	720
158	135	717
159	136	715
160	136	712
161	137	710
162	137	708
163	138	706
164	139	703
165	139	702
166	140	700
167	141	698
168	141	697
169	142	695
170	143	694
171	143	692
172	144	690
173	145	689
174	145	687
175	146	685
176	147	683
177	147	681
178	148	679
179	148	677
180	149	675
181	149	673
182	150	671
183	150	669
184	151	667
185	152	667
186	153	665
187	153	664
188	154	663
189	155	661
190	155	659
191	156	658
192	156	656
193	157	655
194	158	653
195	158	652
196	159	650
197	160	648
198	160	646
199	161	644
200	161	643
201	162	641
202	162	639
203	163	637
204	163	635
205	164	634
206	165	632
207	165	630
208	166	629
209	166	627
210	167	625
211	167	623
212	168	622
213	168	620
214	169	618
215	170	617
216	170	616
217	171	615
218	172	614
219	172	613
220	173	611
221	174	610
222	174	608
223	175	607
224	175	606
225	176	604
226	177	603
227	177	602
228	178	600
229	178	599
230	179	597
231	180	597
232	180	595
233	181	593
234	182	593
235	183	592
236	183	591
237	184	590
238	185	589
239	185	588
240	186	586
241	186	585
242	187	584
243	188	583
244	189	583
245	189	582
246	190	581
247	191	579
248	191	578
249	192	576
250	192	575
251	193	574
252	194	572
253	194	572
254	195	571
255	196	569
256	196	568
257	197	567
258	197	565
259	198	564
260	198	563
261	199	561
262	199	560
263	200	559
264	201	559
265	202	558
266	203	557
267	203	556
268	204	555
269	205	554
270	205	553
271	206	551
272	207	553
273	208	553
274	209	552
275	210	551
276	210	550
277	211	549
278	212	548
279	213	548
280	214	548
281	214	547
282	215	546
283	216	546
284	217	545
285	217	543
286	218	542
287	219	542
288	219	541
289	220	539
290	221	538
291	221	537
292	222	536
293	222	535
294	223	533
295	223	532
296	224	532
297	225	531
298	226	530
299	227	530
300	227	529
301	228	528
302	229	527
303	229	526
304	230	525
305	231	524
306	232	524
307	233	523
308	233	522
309	234	521
310	234	520
311	235	518
312	235	517
313	236	516
314	236	515
315	237	514
316	238	513
317	239	512
318	239	512
319	240	510
